company_name,job_title,job_description,job_location/city,job_location/country,job_salary/estimated,job_salary/pay_period,job_posted_date
,Machine Learning Engineer,"About Us:

IntelliEdu is a cutting-edge Australian startup dedicated to revolutionizing education through personalized, AI-driven learning experiences. Since our establishment, we've been committed to leveraging technology to empower students and educators alike. Our mission is to provide innovative solutions that cater to the individual needs of every learner, fostering a lifelong love for learning and ensuring success in a rapidly evolving world.

About the Role:

As a Machine Learning Engineer at IntelliEdu, you'll be at the forefront of developing high-quality data science and ML solutions that drive meaningful outcomes for our clients. Working alongside a team of passionate individuals, you'll have the opportunity to tackle diverse projects and make a real impact in the field of education. From selecting the best technology for specific use cases to building reproducible training pipelines, you'll play a pivotal role in shaping the future of personalized learning.

Responsibilities:

 * Collaborate with cross-functional teams to deliver innovative ML solutions
 * Architect and deploy ML applications on cloud platforms
 * Implement MLOps principles to streamline data science workflows
 * Drive pre-sales activities through engaging conversations and proposals
 * Contribute to thought leadership initiatives within the AI/ML community

Requirements for Success:

 * Strong software engineering skills, including CI/CD and TDD
 * Proficiency in Python and cloud engineering
 * Deep understanding of machine learning concepts and development cycles
 * Experience with ML technologies and frameworks (e.g., TensorFlow, PyTorch)
 * Ability to evaluate and implement the best tools for technical challenges

What We Offer:

 * Opportunities for career growth and development in a dynamic startup environment
 * Comprehensive tools and resources to support your success, including a new laptop
 * Flexible work arrangements that prioritize work-life balance
 * Supportive workplace culture that values individual well-being and family needs

Job Type: Full-time

Salary: $95,000.00 – $125,000.00 per year

Benefits:

 * Gym membership
 * Maternity leave
 * Paid volunteer leave
 * Salary packaging
 * Work from home

Schedule:

 * 8 hour shift

Supplemental pay types:

 * Annual bonus

Work Authorisation:

 * Australia (Required)

Work Location: Remote",australia,australia,False,hourly,2024-02-06T00:00:00
Accenture Ltd,Insurance Industry Domain & Decision Scientist,"WHO WE ARE:

Accenture is a global professional services company with leading capabilities in digital, cloud and security. Find out more about us at www.accenture.com.




THE WORK:

This role is influential at its core. You will work with our insurance clients to design and implement AI based decision-making frameworks and models to drive insights for decision making to solve business challenges. In addition to key client relationships, you will also be involved in significant engagement across our business, at multiple levels. You will be someone who can identify opportunities for Data and AI and build capability with key teams internally.

To learn more about our AI Practice please visit- Home | Applied Intelligence Networks (accenture.com)




WHAT’S IN IT FOR YOU?

 * You will be part of a diverse, vibrant, global Accenture community, continually pushing the boundaries of business capabilities.
 * At Accenture you will work on meaningful and innovative projects, powered by the latest technologies.
 * Accenture will continually invest in your learning and growth.


HERE’S WHAT YOU’LL NEED

 * Qualifications in Statistics, Applied Mathematics, Operations Research, Computer Science, Engineering, Business Management, Economics or similar areas
 * 5+ years of experience in deploying AI solutions in analytics-enabled digital transformations.
 * 2+ years in a people management role
 * Demonstrated experience in working with cloud technologies e.g. AWS, GCP or Azure
 * Experience in designing and implementing data & AI solutions.
 * Direct experience owning or leading a project engagement to achieve successful outcomes
 * Strong interpersonal and communications skills to actively engage with clients
 * Ability to Identify opportunities and deliver programs to enhance business processes using data.
 * Driving the adoption of responsible, ethical, regulatory and sustainable practices in development and deployment of artificial intelligence (AI) systems
 * Proactive awareness of emerging technologies, trends, and innovations with data & AI, and its implications in the insurance industry
 * 5+ years of experience in the insurance industry (or related sectors)
 * Understanding of insurance industry specific challenges, regulatory considerations, and trends
 * Progressive expertise in R and/or Python (other scientific languages are advantageous)
 * Due to the nature of work that we perform, candidates need to have valid working rights within Australia (ie. citizenship or Permanent residency)



BONUS POINTS IF YOU HAVE

 * Demonstrated experience within management consulting and the ability to effectively advise clients on AI specific solutions is highly desirable
 * Understanding of statistical and mathematical knowledge, tools and techniques to derive insights from data.



WHAT WE BELIEVE

At Accenture, we recognise that our people are multi-dimensional, and we create a work environment where all people feel like they can bring their authentic selves to work, every day.



Our unwavering commitment to inclusion and diversity unleashes innovation and creates a culture where everyone feels they have equal opportunity. Our range of progressive policies support flexibility in ‘where’, ‘when’ and ‘how’ our people work to ensure that Accenture is an organisation where you can strive for more, achieve great things and maintain the balance and wellbeing you need.



We encourage applications from all people, and we are committed to removing barriers to the recruitment process and employee lifecycle. All employment decisions shall be made without regard to age, disability status, ethnicity, gender, gender identity or expression, religion or sexual orientation and we do not tolerate discrimination. If you require adjustments to the recruitment process or have a preferred communication method, please email exectalent@accenture.com and cite the relevant Job Number, or contact us on +61 2 9005 5000.



To ensure our workplace is inclusive and diverse we are setting bold goals and taking comprehensive action. To achieve these goals, we collect information that allows us to track the effectiveness of our Inclusion and Diversity programs. Learn how Accenture protects your personal data and know your rights in relation to your personal data. Read more about our Privacy Statement.

",sydney,australia,False,hourly,2024-02-14T00:00:00
BHP Group Limited,Senior Decision Scientist,"Date: 9 Feb 2024
Job Posting End Date:
Job Country: Australia
Job State/Province: Queensland
Job Location/Region: Brisbane


About BHP


At BHP we support our people to grow, learn, develop their skills and reach their potential. With a global portfolio of operations, we offer a diverse and inclusive environment with extraordinary career opportunities. Our strategy is to focus on creating a safe work environment where our employees feel strongly connected to our values and objectives, and where the capability of our people is key to our success.


Come and be a part of this success.


About the Role



 * This role can be based in Brisbane or Perth
 * This vacancy will accept applications until 11:59pm AEST on 25 February 2024.



In this role, you will be responsible for the research and development of innovative decision science digital products. We are looking for a seasoned professional with extensive experience in dynamic simulation, optimisation, machine learning, data analysis and software development.


Reporting to the Decision Sciences manager, your key accountabilities will include:


 * Working on the development of a complex digital solutions for mine planning, supply chain and innovation technology-based initiatives.
 * Shaping and implementing technology / business solutions to contribute to the product development and solve asset opportunities
 * Full life cycle management of software from requirements, planning, design, implementation, delivery and maintenance
 * Design and implementation of a large-scale simulation-, optimisation- and/or machine learning – based algorithms.
 * Research and development of new technologies which will help to contribute to the next generation of advanced mathematical and computer science tools used within the group.
 * Leverage the power of visualisation to communicate business insights that in-turn enable better decisions within our users.

About You



You will be happy working in a fast paced start-up like culture but with the resources of multinational organization can provide.

 * Background in the applied mathematics, computer science or similar quantitative field and experience working on a large scale industrial applications;
 * Senior cross-disciplinary experience in research and development plus experience in managing external contractors;
 * Experience in the development and productionisation of software products and internal tools;
 * Experience in coding in C#, C++, Java, Python etc;
 * Working knowledge in cloud technologies, preferably AWS;
 * Agile experience, including test development;
 * Proven experience working with version control and peer review processes;
 * Experience with relational database systems such as SQLite, MySQL, Postgres, and query language and ORMS such as SQL, LINQ, Entity Framework, DevExpress XPO;
 * Experience developing with DevOps platforms and CI/CD pipelines


About Our Process


At BHP, we are committed to employing individuals who align with the BHP Charter Values and meet the requirements of the role. As part of the recruitment process, there are a number of checks which may be conducted to demonstrate applicants suitability for a role including police / criminal background checks, medical, drug and alcohol testing, due diligence checks, right to work checks, and/or reference checks.
If you are already employed directly by BHP, please log in using your BHP email address or apply via our internal jobs portal.


Supporting a Diverse Workforce

The size, stability and magnitude of our business not only provides significant opportunity for professional development, but also attractive salary packages with performance-based bonuses and a best-in-class employee share program. We know there are many aspects of our employees' lives that are important, and work is only one of these, so we offer benefits to enable your work to fit with your life. These benefits include flexible working options, a generous paid parental leave policy, other extended leave entitlements and parent rooms.


At BHP, we know that we are strengthened by diversity. We are an Equal Opportunity employer that is committed to making BHP a safe and inclusive workplace where everyone can thrive and be at their best every day. We are focused on creating a workforce that’s more diverse and represents the communities where we work and live. providing a work environment in which everyone is included, treated fairly and with respect. We are an Equal Opportunity employer and recognise that true diversity includes gender, age, race, disability status, sexual orientation, religion, neurodiversity, education levels, and many more aspects of your identity.


BHP is committed to providing a recruitment process that is fair, equitable and accessible for all. If you have a disability, we know that it may be helpful for us to adjust our process to make it equitable for your individual situation. If you would like to reach out to someone about your situation and our recruitment process, please email us at inclusion@bhp.com.",brisbane,australia,False,hourly,2024-02-08T00:00:00
Technology Recruiting Solutions,Senior Lead Data Scientist,"Salary: $170,000 – $180,000:

Exciting opportunity for an experienced Senior Lead Data Scientist delivering a very unique and exciting new data product to customers within the Melbourne Market.

Role Description

Exciting opportunity for an experienced Senior Lead Data Scientist delivering a very unique and exciting new data product to customers within the Melbourne Market. The position is a full time role based in the Melbourne CBD, offering a competitive remuneration package, flexible working environment and a great company culture where making a positive contribution to social impact utilizing data is part of your everyday working life.
As a Senior Data scientist within the team you will engage with, educate and influence internal business stakeholders to understand and prioritize requirements to design, develop and implement cutting edge analytic solutions to optimize performance. You will be responsible for statistical and machine learning predictive models to help improve customer experiences and increase the company’s data science capability across the business enterprise. As the Senior Data Scientist you will be expected to run and deliver projects autonomously taking responsibility for each assignment, however you will be provided with the full backing and support of a collaborative Global Data Science Team. The perfect candidate will have a degree or PHD in Mathematics, Statistics or Computer Science with significant experience of applying machine learning techniques to solve real life problems in a commercial environment using structured and unstructured data.

Essential skills and experience

 * A track record in delivering data science solutions to improve business outcomes
 * Experience in data mining, statistical methods, machine-learning
 * Strong Knowledge of and experience R, SQL and Python;
 * You have strong skills in data wrangling and databases using SQL
 * Experience with Hadoop, Spark or Kafka highly regarded
 * Analytical mind, business acumen, strong math skills (e.g. statistics, algebra) and problem-solving aptitude
 * Excellent communication and presentation skills
 * Experience in banking and Finance industry is highly desirable



Date Posted:

Posted 4 weeks ago


Expiration date:

March 15, 2024


Location:

Melbourne


Job Title:

Senior Lead Data Scientist

",melbourne,australia,False,hourly,2024-01-19T00:00:00
Hays plc,Data Scientist (R&D Focused),"International MineTech organisation backed by a global conglomerate seeking Data Scientist



Your new company

An international MineTech organisation backed by a global Japanese technology conglomerate is seeking a Data Scientist (with a focus on cloud based Machine Learning and Big Data). This role will see you work as part of a new R&D Team at this MineTech’s Australian HQ in Brisbane in a highly funded start up environment akin to Silicon Valley.



Your new role

Established over 25 years ago and headquartered in North America, this MineTech organisation services the technological needs of mining companies throughout the world. With offices in North America and Australia, this organisation's Brisbane based R&D Team who operate in a start up like environment have views for rapid expansion over the next 12-18 months.


From this, your new role as this teams Data Scientist will see you create data focused solutions (initially as prototypes then fully fledged) to gain valuable insights that will affect the operation of mine sites throughout the world. Being this teams data SME, not only will you focus on the ‘science’ of data (algorithms, analytics, AI, etc) but also on its ‘engineering’ (data pipelines, cleansing, sources, etc) with a circa 70/30 split.


With this team working on an IoT and AI based platform to direct, manage and monitor industrial mining assets (trucks, networks, personnel, etc), you will be using cutting edge data science and technology hosted on advanced cloud platforms to conduct your work.


Specifically, you will be specialising within the Machine Learning (ML) and Big Data domains with a focus on predictive modelling and algorithms. From this, your creations will then be transformed into production by a separate team enabling you to continue your R&D focused work. For an insight into future projects, this team is aiming to move from manned assets to fully autonomous vehicles and the creation of the systems behind these.


Regardless of the R&D project, you will be tasked with a variety of responsibilities across both the data science and engineering disciplines (as previous mentioned). These can include deploying Data Pipelines, configuring data visualisation solutions, creating experimental data and technical configurations, designing ML models to produce predictions and writing code for data orientated purposes. Not limited to working just in house, you will also liaise with third parties (e.g. AI start-ups, wearable device manufacturers, etc) to incorporate their data (and systems) into your work.


Whilst based in Brisbane, travel to offices in North America, Japan, etc will be occasionally required throughout your tenure to showcase prototypes, liaise with leadership, witness solutions in situ, etc.



What you'll need to succeed

For this role, you will need experience/knowledge across as much of the following as possible:
 * Machine Learning and Big Data platforms
 * Programming languages such as Python, R, SQL, Java and JavaScript
 * Data and statistical modelling
 * Algorithm development
 * Designing and building high performance data pipelines, warehouses and analytical systems
 * Data mining, cleaning and visualisation
 * Enterprise Data Storage/Lake/Warehousing
 * Cloud based ecosystems (e.g. AWS)
 * Working with data from physical assets (e.g. trains, trucks, cars, etc) and/or mining experience highly advantageous
 * Experience working with both a Start Up and corporate environment highly regarded
 * Working with stakeholders (internal and external) of all levels
 * Perfect communication skills (written and verbal)




What you'll get in return

You will be offered a rare and unique permanent role in Brisbane’s CBD with a highly funded mining technology organisation. This role comes with continual growth, career opportunities, high compensation, flexible working conditions and more.



What you need to do now

If you are interested in this role, click ‘apply now’ or email an up to date resume to Toby.Applegate@Hays.com.au. If this role isn’t quite right for you but you are looking for a new position please do not hesitate to get in touch.

#2845147",brisbane,australia,False,hourly,2024-02-13T00:00:00
Curtin University of Technology,EOI - Software Developer - The Curtin Institute for Data Science," * $99,040 - $106,339 (G07) per annum plus 17% superannuation
 * 2 years fixed term, full-time role with possible extension
 * Support industry demand driven research


Job Reference: 1181299

Curtin Institute for Data Science (former Curtin Institute for Computation)

The Curtin Institute for Data Science (CIDS) is an interdisciplinary knowledge accelerator established in 2016 to meet increasing demand for computational modelling. Our aim is to apply data science and high-performance computing to provide innovative solutions to the real-world problems of government, industry, and academia.

The Institute supports a growing network of SMEs, external organisations, government departments, researchers, co-operative research centres, and not-for-profits across various sectors such as, but not limited to, health sciences, manufacturing, transport, art and culture, astronomy, agriculture, and aquaculture. At present the Institute would typically contribute to 30-40 research projects per annum, working with over 50 external organisations.

Engaging with the Curtin Institute for Data Science means collaborating with a team of specialists who are highly trained in data science, high-performance computing, software development, project coordination and business development. The Institute has a dedicated team of over 30 specialist technical staff with diverse backgrounds in computer sciences, physics, mathematics, computational chemistry and biology, bioinformatics, and remote sensing. It also provides access to over 200 research academics drawn from across Curtin University who specialise in applications of data science in different research settings.

The team is led by Professor Melanie Johnston-Hollitt, a professor of astrophysics, with over 20 years' experience managing multi-disciplinary, international teams.

Your new role

We are seeking detail-oriented software developers to join the Curtin Institute for Computation to work on a multitude of projects across academia, industry, and government. We encourage all skilled front-end, back-end and web developers to submit their EOI.

Responsibilities will include:

 * Assist researchers or business areas to design applications and software for their research and industry applications.
 * Build software tools to assist with data management.
 * Develop tools for integrating annotation data and meta-data and to assist with developing data and meta-data standards.
 * Develop suitable APIs for querying and publishing data.
 * Maintain an understanding of developments in computer hardware, software systems and algorithms where they apply to the relevant discipline.
 * Maintain communication with project partners and stakeholders throughout the duration of assigned projects, to ensure regular exchange of project related information and to initiate appropriate action for issues if they arise.
 * Produce and maintain high-level documentation including but not limited to technical reports, user and developer guides.
 * Design and develop user interfaces and user experiences for web applications including but not limited to dashboards, data visualization, forms and surveys.

To learn more about this opportunity, please contact Paul Hancock, Data Scientist Project Lead, Curtin Institute for Data Science, School of Elec Eng, Comp and Math Sci (EECMS), Faculty of Science and Engineering on paul.hancock@curtin.edu.au.

About us

Curtin University is one of the world’s top 200 universities according to the 2023 QS World University Rankings. We offer a competitive remuneration and benefits package, a friendly and collaborative work environment, generous leave entitlements and superannuation, flexible working arrangements, and salary-packaging. Our vibrant campus includes an art gallery, gym, childcare and medical centre, and a wide range of food options including a supermarket.

For more information about our university, please visit www.curtin.edu.au

Join us!

Please provide a cover letter, your CV and a separate document addressing the selection criteria noted below to allow us to assess your suitability for this role.

Selection Criteria:

 * A qualification in a relevant discipline (computer science, software engineering or data engineering) with considerable relevant experience or an equivalent combination of relevant experience and/or education/training.
 * Experience and proficiency in software engineering best practice and data quality assurance.
 * Experience with testing frameworks.
 * Ability to deliver software development (or closely related) projects on time and on budget with successful end-user outcomes.
 * Proven skills and a high level of expertise in relevant tools and technologies and the ability to mentor and develop technical skills in fellow team members.

Applications close: 5:15PM AWST, Tuesday 27th February 2024

Applicants should note that prior to appointment, you will need to have a current National Police Records check, undergo character, integrity, and reference checks. Please note that this position may be subject to a WA state government vaccination mandate. If requested, you will be required to provide evidence of your vaccination status prior to employment.

If you have any queries in relation to this application process, please contact our careers team on 08 9266 9000 (option 3,1) or CurtinCareers@curtin.edu.au quoting the Job Reference.

Please note we are not accepting applications from recruitment agencies at this time.",perth,australia,False,hourly,2024-02-13T00:00:00
Patterson Cheney Cars and Trucks Pty Ltd,Data & Marketing Specialist," * Mercedes-Benz Berwick - #1 Mercedes-Benz Retailer in Australia
 * Join our expert marketing team and take your career to the next level
 * Part of Patterson Cheney, named 2023 VACC Automotive Employer of the Year.


Mercedes-Benz Berwick - #1 Mercedes-Benz Retailer in Australia has a fantastic opportunity for a Data & Marketing Specialist to join our marketing team at Patterson Cheney, one of Australia's largest family-owned automotive businesses, named 2023 VACC Automotive Employer of the Year.

As a Marketing & Data Specialist, you will be responsible for preparing campaign data for sending via electronic direct mail (eDM) on Campaign Monitor & SMS via CellCast for our Retail & Aftersales Business. Your primary focus will be to ensure accurate & targeted data selection, segmentation, & preparation to support our aftersales & marketing campaigns effectively. This role requires a strong understanding of data management principles, excellent attention to detail & the ability to work with various data sources.

Responsibilities:

Data Preparation:

 * Collect, extract, & consolidate eDM & SMS data for our service reminders & retail campaigns
 * From various sources, including CRM systems, online platforms, & external databases, to create comprehensive datasets for campaign sends.
 * Cleanse, validate, & format data to ensure accuracy, consistency, & compliance with privacy regulations.
 * Perform data deduplication & merge processes to maintain a single customer view & eliminate duplicate records.
 * Transform & manipulate data as needed for campaign targeting & segmentation purposes.
 * Conduct quality checks to identify & rectify data anomalies or inconsistencies.

Campaign Targeting & Segmentation:

 * Collaborate with marketing & management to understand campaign requirements, target audience criteria, & segmentation strategies.
 * Apply data selection criteria to create targeted audience segments based on demographic, behavioural & historical data.
 * Test & validate selected segments to ensure accuracy & adherence to campaign goals.

Campaign Data Integration & Synchronization:

 * Interface with the marketing team & IT professionals to establish data integration processes & maintain data synchronization between different systems (e.g., CRM, ERA, DMS, Campaign Monitor, SMS platforms).
 * Troubleshoot data integration issues & work closely with technical teams to implement solutions.

Data Reporting & Analysis:

 * Generate regular reports on data quality, campaign performance, & audience insights to evaluate the effectiveness of marketing campaigns.
 * Conduct data analysis to identify trends, patterns, & opportunities for optimizing campaign targeting & segmentation strategies.
 * Provide recommendations for data-driven improvements to enhance campaign results & customer engagement.

Qualifications:

 * Automotive experience is preferred, but not necessary.
 * Bachelor's degree in Data Science, Business Analytics, Marketing, or a related field (preferred, but not necessary).
 * Experience with Power BI, but not necessary.
 * Proven experience in data management, data preparation, & campaign data handling.
 * Experience with marketing automation platforms (e.g., Campaign Monitor), & data manipulation tools (e.g. Excel) or similar.
 * Familiarity with SMS marketing platforms & eDM best practices.
 * Strong analytical skills with the ability to interpret complex data sets & generate actionable insights.
 * Excellent attention to detail, ensuring accuracy & data integrity.
 * Knowledge of data privacy regulations & best practices
 * Ability to work independently & collaboratively in a fast-paced environment, managing multiple tasks & deadlines effectively.
 * Strong communication skills, both written & verbal, to effectively interact with cross-functional teams & stakeholders.

Our amazing benefits:

 * Very competitive salary package, with a strong base salary, commissions & superannuation
 * Outstanding career growth opportunities throughout the group
 * Extensive training
 * Access to dealership discounts including, New and Used vehicles, Servicing, Parts, Insurance and Finance
 * Job security with a strong and growing independent family-owned business
 * Employee Assistance Program
 * And above all, lots of support, opportunity & fun

How to Apply:
If you have the right skills and attributes for this position, please apply today by attaching your resume and cover letter, which will be directed to the Talent Acquisition Specialist.

Please note that the successful applicant must undergo a National Police Check.

At Mercedes-Benz Berwick, we believe in fostering a positive & inclusive work environment where our employees can thrive. As a part of our team, you will have access to ongoing training & development opportunities, competitive compensation & attractive benefits.

If you are a self-motivated individual with a passion for luxury vehicles, data & marketing, we would love to hear from you. Join our team as a Data & Marketing Specialist & be a part of our success story!

We are an equal-opportunity employer and welcome qualified candidates of any gender, race, religion, or age with the full right to work in Australia. Please note that we will not be considering agency candidates.",berwick,australia,True,hourly,2024-02-15T00:00:00
"Department of Children, Youth Justice and Multicultural Affairs",Data Scientist and System Architect,"As the Data Scientist and System Architect you will working closely with the Executive Director and Chief Analyst to define the IT system architecture necessary to support the linkage of multi-agency data to provide Government with comprehensive, system-wide information on how young people interact with multiple justice and human services agencies over time.
The Data Scientist and System Architect will develop system specifications for the data lake, the automated pattern recognition software and ensuring that the data structure, retrieval and analysis needs are met for all participating agencies.

Key Responsibilities:
As the Data Scientist and System Architecture, you will specifically:


 * Develop the system specifications for the data linkage project team
 * Define the IT system architecture necessary to support the data lake, the automated pattern recognition software and ensure that the data analysis needs are met by all participating agencies
 * Provide high-level advice to senior management, managers in other work units, partners and stakeholders on matters related to organisational performance measurement and reporting, and manage organisational information systems or applications
 * Manage the development and maintenance of business intelligence solutions to present data and statistics in an accessible and user-friendly manner for distribution to customers.
 * Oversee performance measurement processes for the provision of accurate, reliable and appropriate data to meet the requirements of decision-makers, managers and planners at departmental, State and Commonwealth government levels.
 * Network and collaborate across teams to ensure data and analytics solutions are consistent with standards across Data and Analytics and meeting the needs of Departmental users.
 * Ensure team members can access and use data analysis tools and processes and procedures are current and transferable.
 * Contribute to the development of a corporate culture, which is client-focused and values innovation and continuous improvement

Applications to remain current for 12 months.This work is licensed under a Creative Commons Attribution 3.0 Australia License.",brisbane,australia,False,hourly,2024-02-11T00:00:00
Presien,AI/ML Engineer,"Company Description


Presien is an AI vision company solving real heavy industry challenges, from quality assurance and control to security and safety. Presien improves how heavy industry goes to work.


Job Description


Depending on your skills, experience and interests, you could be working on any of the following:

 * Maintain and improve our datasets, including through the continuous development of our active learning pipeline
 * Refine and debug our MLOps pipelines and repositories
 * Work on detection model and pipeline issues reported in the field and implement solutions
 * Maintain and develop code for dataset generation and maintenance, model training, and evaluation and testing
 * Maintain and develop code for our detection pipeline
 * Develop novel AI/ML and computer vision solutions for new features and products

Please note that applicants MUST have an existing, valid visa to work in Australia. Sorry, but we are unable to sponsor overseas applicants at this stage.


Qualifications


Must haves

 * Existing, valid visa to work in Australia. Sorry, we are unable to sponsor overseas applicants at this stage
 * Extensive hands on machine learning and deep learning experience
 * Good knowledge of deep learning, neural networks, machine learning, and related mathematical fields
 * Experience with one or more common machine learning frameworks used for deep learning (e.g PyTorch, Tensorflow, etc…)
 * Computer vision and image processing experience with application in ML (e.g. working with OpenCV, training image classification/object detection models, etc…)
 * Very comfortable working on Linux systems, especially on the command line
 * Experience with shell scripting
 * Solid Python knowledge, including the standard library, numpy and other ML related packages
 * Very comfortable with Git
 * Minimum bachelor level degree in a relevant field
 * Demonstrable experience of the above skills and knowledge (2 years minimum); e.g. working in industry, academia, master’s degree by research, or PhD.
 * Self-motivated with an autonomous work ethic

Preferred

 * Experience with working in a ML production environment (MLOps)
 * R&D and/or research experience
 * Experience using docker
 * Experience using GPU accelerated cloud instances for training
 * Experience preparing machine learning pipelines for lower power embedded systems (e.g. Nvidia Jetson)
 * Some software development experience

Nice to have

 * Experience with the following specific tools: Pytorch, TensorRT, DVC
 * C/C++ experience
 * AWS experience, specifically EC2",australia,australia,False,hourly,2024-01-17T00:00:00
"V. MANE FILS, SA,",Senior Data Scientist," * Contract
 * Sydney, New South Wales
 * Posted 4 days ago
 * Negotiable USD / Year
 * Salary: Negotiable

We currently seek a Senior Data Scientist passionate about moving this company to the next level of being data driven and advancing their purpose. The Data Scientist will drive internal data analytics projects serving all areas of the company. Investigations will vary from short preliminary explorations to deeper, longer-term studies.

You will have the opportunity to work side by side with talented and motivated colleagues who thrive on helping the business solve the most pressing business opportunities.

Role & Responsibilities:

 * Regular monitoring and analysing the performance of products, as required, at the macro, rating factor and agent in order to identify opportunities to optimise profitable growth through necessary changes.
 * Statistical and / or machine learning modelling to optimise areas of the business
 * Train, validate, and fine-tune models using large datasets, ensuring high accuracy and reliability.
   Implement scalable solutions that can handle large volumes of data and adapt to changing business requirements.
 * Continual improvement, monitoring and improvement of existing models

Ideally you will have:

 * Expertise and hands on experience with statistical modeling and machine learning software (Python, R, etc.)
 * Advanced SQL
 * Familiarity with Gen AI technologies and a keen interest in staying abreast of industry advancements.
 * Comfort with common applied ML strategies and ensemble methodologies
 * Passionate about storytelling with data. Ability to port analytics outcomes into interactive- or presentation-based media (e.g. Tableau, Power BI).
 * Understand technical basics of data visualization and common pitfalls. Ability to make clean, elegant, informative graphs.
 * Exceptional written and verbal communication skills. Ability to present data science findings to sizable audiences of laymen and specialists alike.
 * Ability to work collaboratively as part of a fast-paced, customer oriented team
 * Desire to use or create standards, consider reusability, and have a long-term view while understanding short-term needs
 * Bachelor’s degree or above (Areas of study/related study include: Economics, Statistics, Mathematics, Operations Research, and Marketing)
 * Highly analytical with strong problem solving and critical thinking skills
 * Passion for using data to solve complex business questions and drive business solutions

Apply below with CV in WORD format Or call Mark for more details on 0438198849

",sydney,australia,True,hourly,2024-02-12T00:00:00
